id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
YzetZ7uT,Total Connect 2.0,Total Connect security panel arming mode has changed,This trigger fires when my Total Connect security panel has been armed or disarmed.,Home Connect Oven,Turn off oven,This action will turn off your oven.,Appliance
Z9bKAMdX,Watts,Lowest CO2 intensity in the electricity,This trigger fires when the CO2 intensity in the electricity production is lowest between a starting time and a finish time and for a duration specified by you.,Home Connect Dishwasher,Start program,This action will start the selected dishwasher program.,Appliance
bDJ5bXsQ,True Energy Smart Home Norway,Electricity in Norway is Cheap,This trigger fires at the hours where electricity in Norway is cheap.,Home Connect Dishwasher,Start program,This action will start the selected dishwasher program.,Appliance
cNXGvTYf,Hager IoT,Binary switch turns on,This Trigger fires every time your device's binary switch is turned on.,Home Connect Oven,Turn on oven,This action will turn on your oven.,Appliance
citfURA9,HomeSeer,A device is turned on,This Trigger fires when a device attached to your HomeSeer system is turned on.,Home Connect Oven,Preheat oven,This action will preheat your oven using the hot air program with the fast preheat option.,Appliance
dsywPmcF,Button widget,Button press,This trigger fires every time you press the button.,Home Connect Oven,Turn off oven,This action will turn off your oven.,Appliance
eAZuKhvG,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Home Connect Coffee Machine,Turn on coffee machine,This action will turn on your coffee machine.,Appliance
ex5ktb2a,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Hood,Turn off hood,This action will turn off your hood.,Appliance
g8s5JZiF,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Coffee Machine,Start coffee world program,This action will start the selected coffee world program with your preferred settings.,Appliance
gcrNYnXG,Amazon Alexa,Item edited on your To Do List,This Trigger fires every time you edit an item on your To Do List.,Home Connect Dishwasher,Turn off dishwasher,This action will turn off your dishwasher.,Appliance
